,count,mean,std,min,50%,75%,90%,95%,99.9%,max
01_metaspace_codepoint_bert,3409318.0,17.21470335122743,15.421717009380107,1.0,13.0,23.0,36.0,45.0,127.0,2412.0
01_metaspace_codepoint_bpe,3409318.0,17.25489467394945,15.47759584038948,1.0,13.0,23.0,36.0,45.0,128.0,2430.0
01_metaspace_codepoint_unigram,3409318.0,19.439195170412383,17.562991630141532,1.0,14.0,26.0,40.0,50.0,146.0,3017.0
02_metaspace_grapheme_bert,3409318.0,17.517859876960728,15.696393942621922,1.0,13.0,23.0,37.0,45.0,129.68300000019372,2485.0
02_metaspace_grapheme_bpe,3409318.0,17.287066504209932,15.49357160608662,1.0,13.0,23.0,36.0,45.0,128.0,2467.0
02_metaspace_grapheme_unigram,3409318.0,56.91965196558373,49.61050610424232,1.0,41.0,78.0,123.0,151.0,359.0,5256.0
03_sandhi_codepoint_bert,3409318.0,17.206738121817914,15.420422910306792,1.0,13.0,23.0,36.0,45.0,127.0,2421.0
03_sandhi_codepoint_bpe,3409318.0,17.228885073202324,15.45357822544789,1.0,13.0,23.0,36.0,45.0,128.0,2428.0
03_sandhi_codepoint_unigram,3409318.0,19.42990533590589,17.553459904819498,1.0,14.0,26.0,40.0,50.0,145.0,3016.0
04_sandhi_grapheme_bert,3409318.0,17.529806547819828,15.707492524075176,1.0,13.0,23.0,37.0,45.0,130.0,2485.0
04_sandhi_grapheme_bpe,3409318.0,17.2973638716013,15.503556873098892,1.0,13.0,23.0,36.0,45.0,128.0,2466.0
04_sandhi_grapheme_unigram,3409318.0,64.19209560387151,56.071504516742095,1.0,46.0,88.0,139.0,171.0,403.0,5982.0
